x,Gatan K2,Falcon II,DE 20,Film
-0.00245,0.79668,0.50927,0.43802,0.34583
0.00938,0.79606,0.5031,0.43782,0.34967
0.01338,0.79584,0.50091,0.39418,0.35133
0.0157,0.79571,0.49961,0.38934,0.35231
0.01607,0.79569,0.4994,0.38895,0.35246
0.01703,0.79564,0.49885,0.38815,0.35287
0.03781,0.79486,0.48819,0.38812,0.35917
0.04076,0.79484,0.48707,0.38884,0.35867
0.04291,0.79485,0.48633,0.3894,0.35728
0.04299,0.79485,0.48631,0.38942,0.3572
0.05026,0.79494,0.4843,0.39138,0.32886
0.06377,0.79489,0.48231,0.39421,0.31737
0.06525,0.79485,0.48222,0.39439,0.31671
0.07412,0.79454,0.48217,0.39526,0.31374
0.08482,0.79396,0.4831,0.39661,0.3116
0.09617,0.79303,0.48478,0.39938,0.3104
0.10085,0.79246,0.48557,0.40114,0.31013
0.1174,0.78885,0.4884,0.40902,0.30986
0.11814,0.78877,0.48852,0.40938,0.30987
0.12958,0.78808,0.49029,0.41425,0.31013
0.13797,0.78736,0.49153,0.41659,0.31043
0.15027,0.78511,0.49337,0.4184,0.31097
0.16791,0.77819,0.49621,0.41924,0.31202
0.17305,0.77561,0.49712,0.41934,0.31241
0.18114,0.77155,0.49866,0.41945,0.31314
0.19114,0.7676,0.50068,0.4196,0.3142
0.19843,0.76415,0.50219,0.41976,0.31511
0.21612,0.75138,0.5058,0.42054,0.31774
0.21941,0.74934,0.50643,0.42078,0.31828
0.22993,0.74421,0.50832,0.42175,0.32013
0.24286,0.73825,0.51032,0.42295,0.32261
0.25049,0.73327,0.51148,0.4232,0.32417
0.25321,0.73131,0.51191,0.42306,0.32474
0.26508,0.72344,0.51411,0.4196,0.32729
0.27668,0.71739,0.51701,0.41567,0.32986
0.28435,0.71346,0.51951,0.41406,0.33157
0.30087,0.70371,0.52653,0.41141,0.3352
0.31357,0.69445,0.53261,0.40935,0.33784
0.31869,0.6904,0.53505,0.4083,0.33883
0.34035,0.67286,0.544,0.40005,0.34201
0.34127,0.67216,0.5443,0.3997,0.3421
0.34832,0.66712,0.5464,0.39722,0.34262
0.3638,0.65682,0.5497,0.39249,0.34295
0.3692,0.65249,0.55052,0.39092,0.34285
0.39094,0.6346,0.5525,0.38458,0.34179
0.40433,0.62574,0.55303,0.38043,0.34083
0.41626,0.61901,0.55326,0.37629,0.33988
0.41933,0.61733,0.55327,0.37509,0.33962
0.43965,0.60531,0.5529,0.36557,0.338
0.44524,0.60129,0.55262,0.36286,0.33763
0.46441,0.58482,0.55086,0.35533,0.3353
0.46613,0.58338,0.55064,0.35478,0.33488
0.46991,0.58031,0.55009,0.35362,0.33387
0.47672,0.57513,0.54894,0.35165,0.33186
0.50323,0.55686,0.54233,0.34477,0.32327
0.52172,0.54447,0.53587,0.34024,0.31695
0.53038,0.53836,0.53244,0.33812,0.31392
0.55576,0.51992,0.52148,0.33172,0.30477
0.55953,0.51719,0.51979,0.33073,0.30335
0.5748,0.50627,0.51289,0.32656,0.29741
0.57852,0.50366,0.51122,0.32551,0.2959
0.61798,0.47419,0.4934,0.31388,0.27846
0.62173,0.47087,0.4915,0.31275,0.27674
0.62244,0.47024,0.49113,0.31254,0.27642
0.65711,0.43927,0.47164,0.30242,0.26034
0.6637,0.43428,0.46806,0.3006,0.25722
0.66485,0.43345,0.46745,0.30029,0.25667
0.7204,0.40138,0.43802,0.28602,0.22872
0.72172,0.40059,0.43723,0.28569,0.228
0.73232,0.39389,0.43064,0.28299,0.22217
0.74729,0.38356,0.42057,0.27904,0.21351
0.76729,0.3693,0.40721,0.27333,0.20123
0.76862,0.3684,0.40639,0.27292,0.20039
0.80555,0.34587,0.38673,0.25946,0.17631
0.81553,0.34001,0.38173,0.25486,0.16988
0.81645,0.33946,0.38126,0.25441,0.1693
0.81871,0.33811,0.3801,0.25329,0.16788
0.84875,0.31873,0.36388,0.23675,0.15128
0.86491,0.30721,0.35459,0.22775,0.14346
0.8755,0.29954,0.34835,0.22244,0.13829
0.8757,0.29939,0.34822,0.22234,0.13819
0.89934,0.28294,0.33401,0.21301,0.12616
0.91428,0.27386,0.32499,0.20744,0.11835
0.92757,0.26679,0.31703,0.20139,0.11131
0.94008,0.26074,0.30957,0.19428,0.10462
0.9508,0.2557,0.30309,0.18737,0.09883
0.9513,0.25546,0.30278,0.18703,0.09855
0.97341,0.24471,0.28906,0.17171,0.08639
0.97693,0.24285,0.28685,0.16932,0.08442
0.9908,0.23487,0.27811,0.16124,0.07652
0.99277,0.23367,0.27687,0.16038,0.07539
0.99686,0.23115,0.27428,0.15891,0.07304
0.99916,0.22973,0.27284,0.15822,0.07173
