x "Falcon III EC" "Falcon III"
0.0021 0.8889 0.45258
0.00859 0.88938 0.45467
0.04408 0.8915 0.46864
0.05053 0.8916 0.47265
0.06729 0.89109 0.48459
0.08585 0.88984 0.48664
0.08606 0.88982 0.48668
0.11258 0.8885 0.49671
0.12448 0.88809 0.50228
0.13136 0.88787 0.50473
0.14902 0.88574 0.50681
0.15537 0.88432 0.50732
0.1711 0.8801 0.50892
0.1965 0.87216 0.51302
0.21163 0.86687 0.51725
0.223 0.86254 0.51911
0.25721 0.84701 0.51734
0.26014 0.84542 0.51723
0.2888 0.82582 0.51751
0.29584 0.82025 0.51756
0.31635 0.80622 0.51689
0.34551 0.79125 0.51391
0.36375 0.78081 0.51129
0.41391 0.7484 0.50245
0.46074 0.71617 0.4891
0.46134 0.71575 0.4889
0.54627 0.65613 0.45976
0.56764 0.64171 0.45103
0.60361 0.61823 0.43441
0.64551 0.58987 0.41489
0.68078 0.56362 0.39139
0.68116 0.56333 0.39116
0.73148 0.52224 0.36204
0.77335 0.48681 0.32672
0.82184 0.44612 0.29539
0.83209 0.43774 0.28824
0.86812 0.40916 0.26009
0.90118 0.38386 0.23459
0.94085 0.35367 0.20518
0.95109 0.34556 0.19568
0.97279 0.32662 0.17375
0.99404 0.30234 0.15614
1.00474 0.28907 0.14825
